Serial,Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,City,State,Zip,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Leasing Company Name,Leasing Company Contact,Leasing Company Phone,Leasing Company Address,Leasing Company City State Zip,Owner Name,Owner Phone,Owner Address,Owner City State Zip,Property Manager Name,Property Manager Phone,Developer Name,Architect Name,Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Affordable Type,Days On Market,Cap Rate,Latitude,Longitude,Market Name,Market Segment,Parcel Number 1(Min),Parcel Number 2(Max),Primary Agent Name,PropertyID,Sewer,Star Rating,Water,Vacancy %
C3QL5A,211 George Bishop Pky,Fantasy Harbour Redevelopment,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,9500000,131.0000,,,0,,,-,,,,,,,,,,,,,,,Fpi Us Llc,,211 George Bishop Pky,"Myrtle Beach, SC  29579",,,,,,,,,,,,305,,33.7149673,-78.9334611,Myrtle Beach/Conway,,17200-05-015,17200-05-256,,9617726,,2 Star,,
AALK7A,Grissom Pky,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,2400000,3.3600,,,0,,,-,,,,,,,,,,,,,,,Pop 3 Llc,,950 48th Ave,"Myrtle Beach, SC  29577",,,,,,AC-2,,,,,,2924,,33.7239066,-78.8652807,Myrtle Beach/Conway,,17300-04-157,17300-04-157,,6300302,,2 Star,,
BW7L9A,E Grissom Pky,Highland Developers Tract Parcel B,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,550000,2.3000,,,0,,,-,,,,,,,,,,,,,,,Highland Developers of Myrtle Beach Inc,,4707 Oleander Dr,"Myrtle Beach, SC  29577",,,,,,,,,,,,1525,,33.7021926,-78.9002644,Myrtle Beach/Conway,,18101-01-060,18101-01-060,,8245640,,2 Star,,
BW7S3A,E Grisson Pky,Highland Developers Tract Parcel D,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,1250000,5.3000,,,0,,,-,,,,,,,,,,,,,,,Highland Developers of Myrtle Beach Inc,,4707 Oleander Dr,"Myrtle Beach, SC  29577",,,,,,,,,,,,1525,,33.7024334,-78.8987128,Myrtle Beach/Conway,,18101-01-024,18101-01-024,,8245690,,2 Star,,
AT547A,Harbour Blvd @ George Bishop Pkwy,Lot 1,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,1500000,21.0000,,,0,,,-,,,,,,,,,,,,,,,Harbour Boulevard Llc,,1004 29th Ave,"Myrtle Beach, SC  29577",,,,,,HC,,,,,,2442,,33.7051060,-78.9415978,Myrtle Beach/Conway,,18000-01-054,18000-01-054,,6328963,,2 Star,,
AEEF3A,Highway 15 @ 17th Avenue S,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,475000,2.7000,,,0,,,-,,,,,,,,,,,,,,,Pleasant Hill Primative Baptis,,RR 1 BOX 649,"MYRTLE BEACH, SC  29588",,,,,,AC2,,,,,,3057,,33.6902810,-78.9097740,Myrtle Beach/Conway,,18000-02-029,18000-02-029,,6085580,,2 Star,,
BF5EXA,Highway 17,Cane Patch,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29572,Horry,Land,,Existing,,,,,,Y,2992000,4.6200,,,0,,,-,,,,,,,,,,Keystone Commercial Realty,Rusty Helm,8436263400,608 16th Ave Suite # G,"Myrtle Beach, SC  29577","Burroughs & Chapin Company, Inc.",8434485123,8820 Marina Pky,"Myrtle Beach, SC  29572",,,,,,C-2,,,,,,2091,,33.7426574,-78.8247536,Myrtle Beach/Conway,,16500-01-045,16500-01-045,Rusty Helm,7592048,,3 Star,,
AJL5KA,Highway 501,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29526,Horry,Land,,Existing,,,,,,Y,13351800,52.3600,,,0,,,-,,,,,,,,,,Tradd Commercial,Scott McNew,8438399777,1039 44th Ave N Suite # 203,"Myrtle Beach, SC  29577",Wallace Leo Iii,,,,,,,,,HC,,,,,,2117,,33.7678946,-78.9734055,Myrtle Beach/Conway,,16200-01-153,16200-01-153,Scott McNew,5371271,,2 Star,,
AEACPA,125 Highway 501,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,925000,4.5000,,,0,,,-,,,,,,,,,,,,,,,Tri-Coastal Associates Llc,,3500 S DuPont Hwy,"Dover, DE  19901",,,,,,LI,,,,,,1686,,33.7733807,-78.9799901,Myrtle Beach/Conway,,16200-01-185,16200-01-185,,5525280,,2 Star,,
CTI0RA,Highway 501 And Forrestbr Rd,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,465000,9.3100,,,0,,,-,,,,,,,,,,,,,,,Sharon Llc,,,,,,,,,Commercial,,,,,,1060,,33.7310090,-78.9458194,Myrtle Beach/Conway,,17200-06-047,17200-06-047,,9035580,,2 Star,,
BWE3EA,7794 Highway 544,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,500000,4.0000,,,0,,,-,,,,,,,,,,,,,,,Hucks J Cranston,,6058 Renata Ln,"Myrtle Beach, SC  29588",,,,,,,,,,,,2156,,33.7108666,-79.0215317,Myrtle Beach/Conway,,17000-07-018,17000-07-018,,7509392,,2 Star,,
CYHE4A,Highway 707,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,1750000,5.8900,,,0,,,-,,,,,,,,,,Dockside Realty South,Bill Bayliff,8434924030,11947 Grandhaven Dr Suite # J,"Murrells Inlet, SC  295767682",Spsm Ltd,,,,,,,,,,,,,,,19,,33.6285446,-79.0363276,Myrtle Beach/Conway,,19000-02-233,19000-02-234,Bill Bayliff,9915561,,2 Star,,
BW0N8A,E Highway 90,Bear Claw/ Clara Watson,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29526,Horry,Land,,Existing,,,,,,Y,6063000,305.9900,,,0,,,-,,,,,,,,,,,,,,,Waccamaw Land & Timber,8434490441,4705-A Oleander Dr,"Myrtle Beach, SC  29577",,,,,,,,,,,,1529,,33.8281449,-78.8553962,Myrtle Beach/Conway,,14100-01-044,14100-01-044,,8243541,,2 Star,,
BLDEHA,Holmestown Rd,Hwy 707,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,1700000,10.0000,,,0,,,-,,,,,,,,,,,,,,,Grissett Jack Nelson,,632 Willoughby Ave,"Brooklyn, NY  11206",,,,,,Farm Agriculture,,,,,,11,,33.6306239,-79.0233174,Myrtle Beach/Conway,,19000-03-130,19000-03-130,,6822037,,2 Star,,
BJWXXA,Hwy 17 Byp,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29575,Horry,Land,,Existing,,,,,,Y,1090000,16.6100,,,0,,,-,,,,,,,,,,,,,,,Wachovia Bank Na,,5901 S Kings Hwy,"Myrtle Beach, SC  295754967",,,,,,,,,,,,2083,,33.6311250,-78.9503090,Myrtle Beach/Conway,,19200-01-010,19200-01-010,,7599775,,2 Star,,
BRE7WA,Hwy 17 Byp,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,350000,5.0900,,,0,,,-,,,,,,,,,,Century 21 Boling & Associates,Marty Corley,8434492121,7722 N Kings Highway,"Myrtle Beach, SC  29572",Catherine M Gray,,416 DUNES WILDWOOD Trl,"MYRTLE BEACH, SC  29572",,,,,,Limited Industrial,,,,,,2124,,33.7065769,-78.9265572,Myrtle Beach/Conway,,18000-02-076,18000-02-076,Marty Corley,7554385,,2 Star,,
BK1VYA,Hwy 501,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,4862000,14.9600,,,0,,,-,,,,,,,,,,,,,,,Wallace Leo Iii & Nash A Isenhower,,,,,,,,,HC,,,,,,1651,,33.7667235,-78.9793859,Myrtle Beach/Conway,,16200-01-057,16200-01-057,,7657336,,2 Star,,
CBY67A,Hwy 501 @ Belle Terre Blvd,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,4950000,301.0000,,,0,,,-,,,,,,,,,,,,,,,Holmes Hal B Jr,,,,,,,,,CFA,,,,,,188,,33.7394402,-78.9658223,Myrtle Beach/Conway,,17100-01-032,17100-01-032,,9743448,,2 Star,,
CT3U8A,Hwy 501,Carolina Forest Tract,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,5000000,77.0000,,,0,,,-,,,,,,,,,,,,,,,Gm Myrtle Beach 687 Llc,,3000 Internet Blvd,"Frisco, TX  75034",,,,,,HC,,,,,,160,,33.7565213,-78.9568394,Myrtle Beach/Conway,,16300-01-001,16300-01-001,,9770142,,2 Star,,
BRUVMA,Hwy 544 @ Pine Hollow,,Hwy 544 SFR Site,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,325000,23.4000,,,0,,,-,,,,,,,,,,,,,,,Ll Partners Of Cypress Plantation,,,,,,,,,Pa-1,,,,,,2404,,33.6963377,-79.0149319,Myrtle Beach/Conway,,17800-02-046,17800-02-046,,7110510,,2 Star,,
A3MLSA,Hwy 544 & Hwy 17 Bypass,Queens Harbour,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,4870000,14.3700,,,0,,,-,,,,,,,,,,,,,,,"Piedmont Companies, Inc.",7047364330,2667 E Main St,"Lincolnton, NC  28092",,,,,,PUD,,,,,,3262,,33.6427549,-78.9902802,Myrtle Beach/Conway,,18500-02-168,18500-02-168,,5616036,,2 Star,,
CIGN3A,International Dr,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,9720000,360.0000,,,0,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,,33.7781826,-78.8796589,Myrtle Beach/Conway,,15300-01-007,15300-01-007,,9525612,,2 Star,,
BWM99A,International Dr,Tract 47,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,600000,3.6000,,,0,,,-,,,,,,,,,,,,,,,Waccamaw Land & Timber,8434490441,4705-A Oleander Dr,"Myrtle Beach, SC  29577",,,,,,Commercial,,,,,,1522,,33.7558038,-78.8576151,Myrtle Beach/Conway,,16400-01-091,16400-01-091,,8250081,,2 Star,,
AO5FLA,9916 N Kings Hwy,,,North Myrtle Beach,North Myrtle Beach,Myrtle Beach,SC,29572,Horry,Land,,Existing,,,,,,Y,1750000,2.3000,,,0,,,-,,,,,,,,,,,,,,,,,,,,,,,,HC,,,,,,74,,33.7840849,-78.7837413,Myrtle Beach/Conway,,15510-01-002,15510-01-002,,5378321,,3 Star,,
CLCFZA,Lake Arrowhead Rd,,,North Myrtle Beach,North Myrtle Beach,Myrtle Beach,SC,29572,Horry,Land,,Existing,,,,,,Y,7250000,12.6800,,,0,,,-,,,,,,,,,,"Shamah Investments, LLC",Haim Shamah,8434977797,894 Lake Arrowhead Rd,"Myrtle Beach, SC  29572","Shamah Investments, LLC",8434977797,894 Lake Arrowhead Rd,"Myrtle Beach, SC  29572",,,,,,,,,,,,663,,33.7761524,-78.7885028,Myrtle Beach/Conway,,15514-02-014,15514-02-014,Haim Shamah,9360346,,2 Star,,
C4BXRA,Legends Dr,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,265000,20.2700,,,0,,,-,,,,,,,,,,,,,,,Synovus Bank,8436261800,P.O.Box 0,"Charlotte, NC  28201",,,,,,,,,,,,1096,,33.7504743,-78.9709098,Myrtle Beach/Conway,,16200-01-108,16200-01-108,,8996682,,2 Star,,
CFLZ6A,Mccormick Rd,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,2475000,16.5000,,,0,,,-,,,,,,,,,,,,,,,Eastern Shores Realty Holdings Llc,,3997 Lark Hill Dr,"Myrtle Beach, SC  29577",,,,,,RE-4,,,,,,231,,33.7114925,-78.9721888,Myrtle Beach/Conway,,17100-01-062,17100-01-062,,9691353,,2 Star,,
BXE9JA,McCormick Rd,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,125000,10.2800,,,0,,,-,,,,,,,,,,,,,,,Roberts Rentals Lp,8437527900,210 Cedar St,"Latta, SC  29565",,,,,,PUD,,,,,,1910,,33.7062235,-78.9710083,Myrtle Beach/Conway,,17900-03-015,17900-03-015,,7798817,,2 Star,,
529230,Oak St @ 27th Avenue N,,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,1500000,3.1100,,,0,,,-,,,,,,,,,,,,,,,Waccamaw Land & Timber,8434490441,4705-A Oleander Dr,"Myrtle Beach, SC  29577",,,,,,AC-1/ HC,,,,,,3598,,33.7104359,-78.8676486,Myrtle Beach/Conway,,17316-03-006,17316-03-010,,1360672,,2 Star,,
BD6I9A,640 Oak Forest Ln,Outparcel,501 Village,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land (Strip Center),,Existing,,,,,,Y,2000000,2.0000,,,0,,,-,,,,,,,,,,,,,,,Kotis Holdings Llc,,1500 Mill St,"Greensboro, NC  27408",,,,,,HC,,,,,,1621,,33.7034010,-78.9089630,Myrtle Beach/Conway,,18000-02-122,18000-02-122,,8088578,,2 Star,,
CQAGQA,5202 N Ocean Blvd,Ivey Estates Waterfront,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,4250000,7.9800,,,0,,,-,,,,,,,,,,,,,,,Ivey Property Holding Co Llc,,400 Bridge St,"Danville, VA  24541",,,,,,AC-2,,,,,,839,,33.7253755,-78.8425779,Myrtle Beach/Conway,,17406-18-022,17406-18-022,,8976256,,2 Star,,
C1HLOA,Old State 90 Hwy,Bear Bone,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29526,Horry,Land,,Existing,,,,,,Y,10110000,337.0000,,,0,,,-,,,,,,,,,,,,,,,Waccamaw Land & Timber,8434490441,4705-A Oleander Dr,"Myrtle Beach, SC  29577",,,,,,SF 10,,,,,,1274,,33.8216923,-78.8390712,Myrtle Beach/Conway,,14100-01-019,14100-01-019,,8828983,,2 Star,,
BG7PGA,Palmetto Pointe Dr,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,275000,2.0000,,,0,,,-,,,,,,,,,,Land South,Carey Graham,8432937050,4736 Hwy 17 Byp S Suite # B,"Myrtle Beach, SC  29572",Palmetto Business Center Llc,,4736 Highway 17 Byp S,"Myrtle Beach, SC  29588",,,,,,C2 Commercial Highway,,,,,,2657,,33.6777771,-78.9757278,Myrtle Beach/Conway,,17900-06-161,17900-06-161,Carey Graham,6757943,,2 Star,,
C5EV5A,Parcel 3 Coventry Rd,Wicked Stick Golf Course Parcel 3,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29575,Horry,Land,,Existing,,,,,,Y,4900000,35.2900,,,0,,,-,,,,,,,,,,,,,,,Wicked Stick Golf Links LLC,8436266268,P.O.Box 14702,"Surfside Beach, SC  29587",,,,,,,,,,,,301,,33.6393885,-78.9859143,Myrtle Beach/Conway,,19100-01-211,19100-01-211,,9620545,,2 Star,,
CJHN3A,1705 Platt Blvd,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29575,Horry,Land,,Existing,,,,,,Y,3750000,83.8500,,,0,,,-,,,,,,,,,,,,,,,First Trident Financial LLC,,,,,,,,,SS14.5 & SS6,,,,,,438,,33.6338220,-78.9710471,Myrtle Beach/Conway,,19107-02-018,19107-02-018,,9527255,,2 Star,,
493874,3500 Queens Harbour Blvd,Queen's Harbour Commercial,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,925000,2.2500,,,0,,,-,,,,,,,,,,,,,,,Vfp Llc,,3200 Plattmoor Dr,"Myrtle Beach, SC  29588",,,,,,Commercial,,,,,,3625,,33.6401135,-78.9903161,Myrtle Beach/Conway,,19100-01-356,19100-01-356,,1334478,,2 Star,,
AGM1MA,River Oaks Dr,Lot A,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,1000000,2.5000,,,0,,,-,,,,,,,,,,The Lachicotte Company,Chip Abernethy,8432372094,10554 Ocean Hwy,"Pawleys Island, SC  29585",Hamilton Properties Llc,,849 82nd Pky,"Myrtle Beach, SC  29572",,,,,,HC,,,,,,3293,,33.7514856,-78.8679265,Myrtle Beach/Conway,,16400-01-109,16400-01-109,Chip Abernethy,5539096,,2 Star,,
AGOYOA,River Oaks Dr,Lot G,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,3492000,17.5700,,,0,,,-,,,,,,,,,,The Lachicotte Company,Chip Abernethy,8432372094,10554 Ocean Hwy,"Pawleys Island, SC  29585",Hamilton Properties Llc,,849 82nd Pky,"Myrtle Beach, SC  29572",,,,,,HC,,,,,,3293,,33.7564361,-78.8637324,Myrtle Beach/Conway,,16400-01-136,16400-01-136,Chip Abernethy,5539584,,2 Star,,
AGPMMA,River Oaks Dr,Lot I/J,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,900000,13.2400,,,0,,,-,,,,,,,,,,Tradd Commercial,Mark Kelley,8438399777,1039 44th Ave N Suite # 203,"Myrtle Beach, SC  29577",Elp Holdings Llc,,10 Chapin Cir,"Myrtle Beach, SC  29572",,,,,,HC,,,,,,3293,,33.7549894,-78.8594322,Myrtle Beach/Conway,,16400-01-093,16400-01-093,Mark Kelley,5539690,,2 Star,,
AGPQQA,River Oaks Dr,Lot K,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,1610000,8.0500,,,0,,,-,,,,,,,,,,The Lachicotte Company,Chip Abernethy,8432372094,10554 Ocean Hwy,"Pawleys Island, SC  29585",4801 Corp.,8434499131,4801 Burchap Dr,"Myrtle Beach, SC  29577",,,,,,HC,,,,,,6,,33.7538427,-78.8605141,Myrtle Beach/Conway,,16400-01-139,16400-01-139,Chip Abernethy,5539714,,2 Star,,
AGPYOA,River Oaks Dr,Lot Q,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,700000,2.8100,,,0,,,-,,,,,,,,,,The Lachicotte Company,Chip Abernethy,8432372094,10554 Ocean Hwy,"Pawleys Island, SC  29585",Hamilton Properties Llc,,849 82nd Pky,"Myrtle Beach, SC  29572",,,,,,HC,,,,,,3293,,33.7520165,-78.8661347,Myrtle Beach/Conway,,16400-01-146,16400-01-146,Chip Abernethy,5539746,,2 Star,,
AGQ9MA,River Oaks Dr,Lot U,Forrest Village,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,508000,2.3000,,,0,,,-,,,,,,,,,,The Lachicotte Company,Chip Abernethy,8432372094,10554 Ocean Hwy,"Pawleys Island, SC  29585",Hamilton Properties Llc,,849 82nd Pky,"Myrtle Beach, SC  29572",,,,,,HC,,,,,,3293,,33.7542064,-78.8637457,Myrtle Beach/Conway,,16400-01-151,16400-01-151,Chip Abernethy,5539788,,2 Star,,
AMRARA,Robert Grissom Pky,,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,768000,3.6100,,,0,,,-,,,,,,,,,,,,,,,Grissom Fitness Center Llc,,459 Allied Dr,"Conway, SC  29526",,,,,,AC-2,,,,,,1139,,33.7073968,-78.8861646,Myrtle Beach/Conway,,18100-01-087,18100-01-087,,5646242,,2 Star,,
BK7TPA,362 Robert Grissom Pky,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,1900000,5.0900,,,0,,,-,,,,,,,,,,,,,,,Mccabe Investment Group Llc Th,,3023 Church St,"Myrtle Beach, SC  29577",,,,,,LI,,,,,,2327,,33.7000247,-78.9137325,Myrtle Beach/Conway,,18000-02-012,18000-02-012,,7208909,,2 Star,,
AGWP7A,9497 SC Hwy 707,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,671000,8.0000,,,0,,,-,,,,,,,,,,,,,,,Robinson Brenda Joyce,,,,,,,,,FA,,,,,,527,,33.6317678,-79.0323470,Myrtle Beach/Conway,,19000-03-098,19000-03-219,,6310000,,2 Star,,
BTO03A,Sc-15 Hwy,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,379800,2.2900,,,0,,,-,,,,,,,,,,,,,,,,,,,,,,,,Commercial,,,,,,419,,33.6917632,-78.8986668,Myrtle Beach/Conway,,18105-19-001,18105-19-001,,8217838,,2 Star,,
